Kod;Nazwa;ofiary œmiertelne;;;;;;;;;;;;;;;;;;;;;
;;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020
;;[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba];[osoba]
1609000;Powiat opolski;-;-;-;-;-;-;-;-;-;-;-;-;24;11;26;16;23;17;14;7;13;16
1610000;Powiat prudnicki;-;-;-;-;-;-;-;-;-;-;-;-;4;5;2;2;6;9;6;3;5;5
1611000;Powiat strzelecki;-;-;-;-;-;-;-;-;-;-;-;-;13;5;5;14;10;5;4;3;4;4
1661000;Powiat m.Opole;-;-;-;-;-;-;-;-;-;-;-;-;7;2;7;4;8;9;6;10;4;0
1800000;PODKARPACKIE;289;267;246;223;250;295;287;260;257;234;220;202;224;184;151;144;136;141;124;125;157;132
1801000;Powiat bieszczadzki;-;-;-;-;-;-;-;-;-;-;-;-;1;4;1;1;0;0;1;1;1;3
1802000;Powiat brzozowski;-;-;-;-;-;-;-;-;-;-;-;-;8;7;4;2;4;2;3;2;2;5
1803000;Powiat dêbicki;-;-;-;-;-;-;-;-;-;-;-;-;17;12;12;16;6;8;12;6;3;11
1804000;Powiat jaros³awski;-;-;-;-;-;-;-;-;-;-;-;-;14;9;8;5;10;11;6;7;14;4
1805000;Powiat jasielski;-;-;-;-;-;-;-;-;-;-;-;-;5;10;3;8;6;4;2;8;7;5
1806000;Powiat kolbuszowski;-;-;-;-;-;-;-;-;-;-;-;-;10;4;5;5;9;7;5;8;3;9
1807000;Powiat kroœnieñski;-;-;-;-;-;-;-;-;-;-;-;-;10;11;7;8;7;8;11;7;6;6
1808000;Powiat le¿ajski;-;-;-;-;-;-;-;-;-;-;-;-;7;5;3;6;7;4;4;6;6;6
1809000;Powiat lubaczowski;-;-;-;-;-;-;-;-;-;-;-;-;14;2;11;3;3;3;3;3;3;2
